Lap,Driver,Decision,LapTime,CumulativeTime,TyreAge,Position,EngineerMessage
10,LEC,conserve,89.20017456859634,881.7756456791076,10,3,"Manage tyres. Running P3, maintaining race pace."
10,PER,push,89.09523856625944,886.1401103938043,10,5,"Push now. Gap 0.21s ahead, opportunity to gain position 4."
10,SAI,push,88.65620783282286,883.6899361586327,10,3,"Push now. Gap 0.95s ahead, opportunity to gain position 4."
11,NOR,conserve,89.58319140671621,971.8561472461449,11,5,"Manage tyres. Running P4, maintaining race pace."
11,VER,conserve,89.60779375498352,973.6974840385694,11,5,"Manage tyres. Running P5, maintaining race pace."
11,LEC,conserve,88.59999869507226,970.3756443741798,11,3,"Manage tyres. Running P5, maintaining race pace."
11,PER,conserve,89.87295312484208,976.0130635186464,11,5,"Manage tyres. Running P2, maintaining race pace."
11,SAI,push,89.60070219631066,973.2906383549433,11,3,"Push now. Gap 0.06s ahead, opportunity to gain position 3."
12,NOR,push,89.39227914909382,1061.2484263952388,12,5,"Push now. Gap 0.18s ahead, opportunity to gain position 4."
12,VER,conserve,89.84594575059491,1063.5434297891643,12,5,"Manage tyres. Running P4, maintaining race pace."
12,LEC,push,89.01701813385128,1059.3926625080312,12,3,"Push now. Gap 0.75s ahead, opportunity to gain position 5."
12,PER,conserve,89.24340863482655,1065.256472153473,12,5,"Manage tyres. Running P2, maintaining race pace."
12,SAI,conserve,89.22985981053009,1062.5204981654733,12,3,"Manage tyres. Running P5, maintaining race pace."
13,NOR,conserve,90.40913378928795,1151.6575601845268,13,5,"Manage tyres. Running P4, maintaining race pace."
13,VER,push,90.13369181037396,1153.6771215995382,13,5,"Push now. Gap 0.41s ahead, opportunity to gain position 3."
13,LEC,push,89.20750674957807,1148.6001692576092,13,3,"Push now. Gap 0.79s ahead, opportunity to gain position 5."
13,PER,conserve,89.28684928958882,1154.5433214430618,13,5,"Manage tyres. Running P5, maintaining race pace."
13,SAI,push,89.38903566450834,1151.9095338299817,13,3,"Push now. Gap 0.16s ahead, opportunity to gain position 1."
14,NOR,conserve,88.99830202039477,1240.6558622049215,14,5,"Manage tyres. Running P1, maintaining race pace."
14,VER,push,90.78909325466394,1244.466214854202,14,5,"Push now. Gap 0.27s ahead, opportunity to gain position 2."
14,LEC,conserve,89.57716854317663,1238.1773378007858,14,3,"Manage tyres. Running P2, maintaining race pace."
14,PER,conserve,88.97428046483817,1243.5176019079,14,4,"Manage tyres. Running P4, maintaining race pace."
14,SAI,conserve,90.22779455918872,1242.1373283891703,14,3,"Manage tyres. Running P1, maintaining race pace."
15,NOR,conserve,89.49298973597692,1330.1488519408983,15,5,"Manage tyres. Running P4, maintaining race pace."
15,VER,conserve,89.38811836308942,1333.8543332172915,15,5,"Manage tyres. Running P4, maintaining race pace."
15,LEC,conserve,89.70745928970565,1327.8847970904915,15,3,"Manage tyres. Running P5, maintaining race pace."
15,PER,conserve,90.17829520036167,1333.6958971082615,15,4,"Manage tyres. Running P2, maintaining race pace."
15,SAI,push,90.131616703383,1332.2689450925534,15,3,"Push now. Gap 0.56s ahead, opportunity to gain position 4."
16,NOR,push,89.72398222715641,1419.8728341680549,16,5,"Push now. Gap 0.05s ahead, opportunity to gain position 4."
16,VER,push,90.16745642703277,1424.0217896443241,16,5,"Push now. Gap 0.85s ahead, opportunity to gain position 1."
16,LEC,push,91.12630626840424,1419.0111033588958,16,3,"Push now. Gap 0.03s ahead, opportunity to gain position 4."
16,PER,conserve,91.16959925126886,1424.8654963595304,16,5,"Manage tyres. Running P1, maintaining race pace."
16,SAI,push,89.87060844779036,1422.1395535403437,16,3,"Push now. Gap 0.85s ahead, opportunity to gain position 1."
17,NOR,conserve,91.14154645930671,1511.0143806273616,17,5,"Manage tyres. Running P5, maintaining race pace."
17,VER,push,89.6795391108895,1513.7013287552136,17,5,"Push now. Gap 0.18s ahead, opportunity to gain position 3."
17,LEC,push,91.27003008359075,1510.2811334424864,17,3,"Push now. Gap 0.64s ahead, opportunity to gain position 2."
17,PER,conserve,90.80143081959159,1515.666927179122,17,5,"Manage tyres. Running P3, maintaining race pace."
17,SAI,conserve,90.74730111720895,1512.8868546575527,17,3,"Manage tyres. Running P4, maintaining race pace."
18,NOR,conserve,90.119751215027,1601.1341318423886,18,5,"Manage tyres. Running P1, maintaining race pace."
18,VER,conserve,91.10432287135718,1604.8056516265708,18,5,"Manage tyres. Running P3, maintaining race pace."
18,LEC,push,90.13989912167743,1600.4210325641639,18,3,"Push now. Gap 0.23s ahead, opportunity to gain position 4."
18,PER,conserve,91.21046637331291,1606.877393552435,18,5,"Manage tyres. Running P2, maintaining race pace."
18,SAI,push,91.61995396906752,1604.50680862662,18,3,"Push now. Gap 0.59s ahead, opportunity to gain position 3."
19,NOR,conserve,91.29144795975822,1692.4255798021468,19,5,"Manage tyres. Running P3, maintaining race pace."
19,VER,conserve,90.63843370142622,1695.444085327997,19,5,"Manage tyres. Running P5, maintaining race pace."
19,LEC,conserve,90.16990438843216,1690.590936952596,19,3,"Manage tyres. Running P4, maintaining race pace."
19,PER,conserve,90.42038072372169,1697.2977742761568,19,5,"Manage tyres. Running P5, maintaining race pace."
19,SAI,conserve,90.65825238369341,1695.1650610103136,19,3,"Manage tyres. Running P4, maintaining race pace."
20,NOR,conserve,90.19554007376847,1782.6211198759152,20,5,"Manage tyres. Running P1, maintaining race pace."
20,VER,conserve,90.56893975034693,1786.013025078344,20,5,"Manage tyres. Running P2, maintaining race pace."
20,LEC,conserve,91.0566888401448,1781.6476257927407,20,3,"Manage tyres. Running P1, maintaining race pace."
20,PER,conserve,91.64728321029679,1788.9450574864536,20,5,"Manage tyres. Running P4, maintaining race pace."
20,SAI,conserve,91.21186481332923,1786.3769258236428,20,4,"Manage tyres. Running P2, maintaining race pace."
21,NOR,conserve,91.86286661510076,1874.483986491016,21,5,"Manage tyres. Running P4, maintaining race pace."
21,VER,conserve,91.85736009235373,1877.8703851706978,21,5,"Manage tyres. Running P3, maintaining race pace."
21,LEC,conserve,92.1995401171692,1873.8471659099098,21,3,"Manage tyres. Running P5, maintaining race pace."
21,PER,conserve,91.63377175083724,1880.5788292372908,21,5,"Manage tyres. Running P5, maintaining race pace."
21,SAI,conserve,90.56434195143878,1876.9412677750815,21,3,"Manage tyres. Running P5, maintaining race pace."
22,NOR,pit,94.22037465183587,1968.7043611428517,0,5,"Box now. Tyres at 0 laps, degradation critical."
22,VER,pit,92.9634394873377,1970.8338246580354,0,5,"Box now. Tyres at 0 laps, degradation critical."
22,LEC,conserve,90.95873296107658,1964.8058988709863,22,3,"Manage tyres. Running P5, maintaining race pace."
22,PER,pit,92.48248080481876,1973.0613100421097,0,5,"Box now. Tyres at 0 laps, degradation critical."
22,SAI,pit,92.66741313180643,1969.608680906888,0,3,"Box now. Tyres at 0 laps, degradation critical."
23,NOR,push,89.23336321167803,2057.9377243545296,1,5,"Push now. Gap 0.84s ahead, opportunity to gain position 3."
23,VER,conserve,87.84279871792428,2058.6766233759595,1,5,"Manage tyres. Running P5, maintaining race pace."
23,LEC,conserve,90.76987788247285,2055.575776753459,23,3,"Manage tyres. Running P4, maintaining race pace."
23,PER,conserve,89.27642424428008,2062.3377342863896,1,5,"Manage tyres. Running P1, maintaining race pace."
23,SAI,conserve,87.99597875139507,2057.604659658283,1,2,"Manage tyres. Running P2, maintaining race pace."
24,NOR,conserve,89.35754071237669,2147.2952650669063,2,5,"Manage tyres. Running P3, maintaining race pace."
24,VER,push,89.05747266990271,2147.7340960458623,2,5,"Push now. Gap 0.35s ahead, opportunity to gain position 4."
24,LEC,conserve,91.08234840862825,2146.6581251620873,24,3,"Manage tyres. Running P4, maintaining race pace."
24,PER,conserve,89.04966616453939,2151.387400450929,2,5,"Manage tyres. Running P4, maintaining race pace."
24,SAI,push,88.99630791552491,2146.600967573808,2,1,"Push now. Gap 0.90s ahead, opportunity to gain position 2."
25,NOR,conserve,88.92086111032573,2236.216126177232,3,5,"Manage tyres. Running P3, maintaining race pace."
25,VER,conserve,88.67347972795717,2236.4075757738196,3,5,"Manage tyres. Running P2, maintaining race pace."
25,LEC,conserve,92.36564508265093,2239.0237702447384,25,5,"Manage tyres. Running P1, maintaining race pace."
25,PER,conserve,88.69223817581975,2240.079638626749,3,5,"Manage tyres. Running P3, maintaining race pace."
25,SAI,conserve,88.60214479465533,2235.2031123684633,3,1,"Manage tyres. Running P3, maintaining race pace."
26,NOR,conserve,88.75225144347596,2324.968377620708,4,5,"Manage tyres. Running P2, maintaining race pace."
26,VER,conserve,89.813684376165,2326.2212601499846,4,5,"Manage tyres. Running P4, maintaining race pace."
26,LEC,conserve,92.57433434365734,2331.598104588396,26,5,"Manage tyres. Running P4, maintaining race pace."
26,PER,conserve,89.894616211805,2329.974254838554,4,4,"Manage tyres. Running P4, maintaining race pace."
26,SAI,conserve,89.18990427788438,2324.393016646348,4,1,"Manage tyres. Running P5, maintaining race pace."
27,NOR,conserve,90.2150577354325,2415.1834353561403,5,5,"Manage tyres. Running P3, maintaining race pace."
27,VER,conserve,89.70677034253141,2415.928030492516,5,5,"Manage tyres. Running P3, maintaining race pace."
27,LEC,pit,94.23168402274956,2425.8297886111454,0,5,"Box now. Tyres at 0 laps, degradation critical."
27,PER,push,89.25718796714004,2419.231442805694,5,4,"Push now. Gap 0.29s ahead, opportunity to gain position 1."
27,SAI,conserve,89.07097178873076,2413.4639884350786,5,1,"Manage tyres. Running P3, maintaining race pace."
28,NOR,push,90.16824085517985,2505.35167621132,6,5,"Push now. Gap 0.54s ahead, opportunity to gain position 1."
28,VER,push,89.70911300917038,2505.6371435016863,6,5,"Push now. Gap 0.78s ahead, opportunity to gain position 1."
28,LEC,conserve,88.82091442181715,2514.6507030329626,1,5,"Manage tyres. Running P4, maintaining race pace."
28,PER,conserve,88.58554551371171,2507.8169883194055,6,4,"Manage tyres. Running P3, maintaining race pace."
28,SAI,conserve,89.86860312447696,2503.3325915595556,6,1,"Manage tyres. Running P1, maintaining race pace."
29,NOR,conserve,88.94847328371569,2594.300149495036,7,5,"Manage tyres. Running P2, maintaining race pace."
29,VER,conserve,89.63755124526253,2595.2746947469486,7,5,"Manage tyres. Running P5, maintaining race pace."
29,LEC,conserve,89.6414406088221,2604.2921436417846,2,5,"Manage tyres. Running P3, maintaining race pace."
29,PER,conserve,88.83622502357201,2596.6532133429773,7,4,"Manage tyres. Running P2, maintaining race pace."
29,SAI,conserve,89.78511808608943,2593.117709645645,7,1,"Manage tyres. Running P4, maintaining race pace."
30,NOR,conserve,90.30573506488028,2684.605884559916,8,5,"Manage tyres. Running P3, maintaining race pace."
30,VER,conserve,89.28527062642034,2684.559965373369,8,4,"Manage tyres. Running P3, maintaining race pace."
30,LEC,conserve,88.22572949206145,2692.517873133846,3,5,"Manage tyres. Running P2, maintaining race pace."
30,PER,conserve,89.70821077124742,2686.361424114225,8,4,"Manage tyres. Running P5, maintaining race pace."
30,SAI,push,90.0080841934429,2683.1257938390877,8,1,"Push now. Gap 0.51s ahead, opportunity to gain position 4."
31,NOR,push,89.65562773295842,2774.261512292874,9,5,"Push now. Gap 0.23s ahead, opportunity to gain position 1."
31,VER,conserve,90.9955127840214,2775.55547815739,9,5,"Manage tyres. Running P2, maintaining race pace."
31,LEC,conserve,90.08353192555022,2782.6014050593963,4,5,"Manage tyres. Running P3, maintaining race pace."
31,PER,conserve,90.81170238992763,2777.1731265041526,9,4,"Manage tyres. Running P3, maintaining race pace."
31,SAI,conserve,89.60862600671493,2772.7344198458027,9,1,"Manage tyres. Running P1, maintaining race pace."
32,NOR,conserve,90.16358347365791,2864.425095766532,10,5,"Manage tyres. Running P5, maintaining race pace."
32,VER,push,90.02887909255989,2865.58435724995,10,5,"Push now. Gap 0.66s ahead, opportunity to gain position 2."
32,LEC,conserve,89.7456410388326,2872.347046098229,5,5,"Manage tyres. Running P3, maintaining race pace."
32,PER,conserve,89.98243345516819,2867.1555599593207,10,4,"Manage tyres. Running P4, maintaining race pace."
32,SAI,push,91.00593879255092,2863.7403586383534,10,1,"Push now. Gap 0.75s ahead, opportunity to gain position 5."
33,NOR,conserve,89.96625291384242,2954.3913486803744,11,5,"Manage tyres. Running P5, maintaining race pace."
33,VER,push,91.11143968299994,2956.6957969329496,11,5,"Push now. Gap 0.86s ahead, opportunity to gain position 1."
33,LEC,conserve,89.96094278698523,2962.307988885214,6,5,"Manage tyres. Running P5, maintaining race pace."
33,PER,conserve,91.13519757673002,2958.290757536051,11,4,"Manage tyres. Running P1, maintaining race pace."
33,SAI,push,89.79907250975805,2953.5394311481114,11,1,"Push now. Gap 0.26s ahead, opportunity to gain position 5."
34,NOR,conserve,90.47195080105016,3044.8632994814247,12,5,"Manage tyres. Running P3, maintaining race pace."
34,VER,conserve,91.5703718490093,3048.266168781959,12,5,"Manage tyres. Running P3, maintaining race pace."
34,LEC,push,89.877026364557,3052.185015249771,7,5,"Push now. Gap 0.88s ahead, opportunity to gain position 3."
34,PER,push,90.17699386256213,3048.467751398613,12,4,"Push now. Gap 0.54s ahead, opportunity to gain position 1."
34,SAI,conserve,91.03082796164644,3044.570259109758,12,1,"Manage tyres. Running P1, maintaining race pace."
35,NOR,conserve,91.64437151188623,3136.507670993311,13,5,"Manage tyres. Running P2, maintaining race pace."
35,VER,conserve,90.81784336126394,3139.084012143223,13,5,"Manage tyres. Running P3, maintaining race pace."
35,LEC,conserve,90.13293984652225,3142.317955096293,8,5,"Manage tyres. Running P4, maintaining race pace."
35,PER,conserve,90.46007486009341,3138.9278262587063,13,3,"Manage tyres. Running P2, maintaining race pace."
35,SAI,conserve,90.96601979304887,3135.5362789028068,13,1,"Manage tyres. Running P3, maintaining race pace."
36,NOR,push,91.72743080219405,3228.235101795505,14,5,"Push now. Gap 0.01s ahead, opportunity to gain position 4."
36,VER,conserve,90.58216761996317,3229.666179763186,14,5,"Manage tyres. Running P5, maintaining race pace."
36,LEC,conserve,90.41812712857002,3232.7360822248634,9,5,"Manage tyres. Running P3, maintaining race pace."
36,PER,push,91.66782760408347,3230.5956538627897,14,4,"Push now. Gap 0.45s ahead, opportunity to gain position 2."
36,SAI,conserve,91.96155938843214,3227.497838291239,14,1,"Manage tyres. Running P2, maintaining race pace."
37,NOR,conserve,91.05470472119076,3319.289806516696,15,5,"Manage tyres. Running P5, maintaining race pace."
37,VER,conserve,91.30608302047105,3320.972262783657,15,5,"Manage tyres. Running P3, maintaining race pace."
37,LEC,push,89.67083457941352,3322.406916804277,10,5,"Push now. Gap 0.25s ahead, opportunity to gain position 4."
37,PER,conserve,90.64035885981168,3321.2360127226016,15,4,"Manage tyres. Running P2, maintaining race pace."
37,SAI,conserve,91.66688754020235,3319.1647258314415,15,1,"Manage tyres. Running P4, maintaining race pace."
38,NOR,conserve,91.68505451351854,3410.9748610302145,16,5,"Manage tyres. Running P5, maintaining race pace."
38,VER,conserve,91.25082846759186,3412.2230912512487,16,5,"Manage tyres. Running P5, maintaining race pace."
38,LEC,push,89.83639021610762,3412.2433070203847,11,5,"Push now. Gap 0.85s ahead, opportunity to gain position 3."
38,PER,push,92.09766345028967,3413.333676172891,16,5,"Push now. Gap 0.68s ahead, opportunity to gain position 4."
38,SAI,conserve,91.45667380366419,3410.6213996351057,16,1,"Manage tyres. Running P4, maintaining race pace."
39,NOR,push,92.62881653895026,3503.6036775691646,17,5,"Push now. Gap 0.46s ahead, opportunity to gain position 1."
39,VER,conserve,91.02061625347791,3503.2437075047264,17,4,"Manage tyres. Running P3, maintaining race pace."
39,LEC,conserve,90.16481086766265,3502.4081178880474,12,3,"Manage tyres. Running P1, maintaining race pace."
39,PER,conserve,90.70969999769639,3504.0433761705876,17,5,"Manage tyres. Running P3, maintaining race pace."
39,SAI,push,91.5305671926875,3502.1519668277933,17,1,"Push now. Gap 0.64s ahead, opportunity to gain position 1."
40,NOR,push,91.66835979647817,3595.272037365643,18,5,"Push now. Gap 0.26s ahead, opportunity to gain position 4."
40,VER,conserve,91.3952795055525,3594.638987010279,18,4,"Manage tyres. Running P4, maintaining race pace."
40,LEC,conserve,90.53580264528591,3592.9439205333333,13,3,"Manage tyres. Running P1, maintaining race pace."
40,PER,push,91.61372348118097,3595.6570996517685,18,5,"Push now. Gap 0.76s ahead, opportunity to gain position 3."
40,SAI,conserve,91.78030584294618,3593.9322726707396,18,2,"Manage tyres. Running P1, maintaining race pace."
41,NOR,conserve,92.74536445439438,3688.0174018200373,19,5,"Manage tyres. Running P3, maintaining race pace."
41,VER,conserve,92.63849741315094,3687.27748442343,19,4,"Manage tyres. Running P1, maintaining race pace."
41,LEC,push,90.93163402896077,3683.875554562294,14,3,"Push now. Gap 0.38s ahead, opportunity to gain position 3."
41,PER,push,91.5217840947358,3687.178883746504,19,3,"Push now. Gap 0.97s ahead, opportunity to gain position 2."
41,SAI,conserve,92.61371312413914,3686.5459857948786,19,2,"Manage tyres. Running P1, maintaining race pace."
42,NOR,conserve,92.83522909125142,3780.8526309112885,20,5,"Manage tyres. Running P2, maintaining race pace."
42,VER,conserve,93.23237023819163,3780.509854661622,20,4,"Manage tyres. Running P2, maintaining race pace."
42,LEC,conserve,90.81709477187317,3774.692649334167,15,3,"Manage tyres. Running P3, maintaining race pace."
42,PER,push,91.3998310417813,3778.5787147882857,20,3,"Push now. Gap 0.61s ahead, opportunity to gain position 4."
42,SAI,conserve,91.72822275870897,3778.2742085535874,20,2,"Manage tyres. Running P1, maintaining race pace."
43,NOR,conserve,92.08242661608566,3872.9350575273743,21,5,"Manage tyres. Running P4, maintaining race pace."
43,VER,pit,94.20791961708885,3874.7177742787107,0,5,"Box now. Tyres at 0 laps, degradation critical."
43,LEC,push,90.9740603127437,3865.666709646911,16,3,"Push now. Gap 0.99s ahead, opportunity to gain position 1."
43,PER,pit,93.32212927523824,3871.900844063524,0,3,"Box now. Tyres at 0 laps, degradation critical."
43,SAI,conserve,92.45541300357752,3870.729621557165,21,2,"Manage tyres. Running P2, maintaining race pace."
44,NOR,conserve,93.62689452191191,3966.561952049286,22,5,"Manage tyres. Running P4, maintaining race pace."
44,VER,conserve,89.81069831116703,3964.5284725898778,1,4,"Manage tyres. Running P4, maintaining race pace."
44,LEC,conserve,91.36812840184433,3957.0348380487553,17,3,"Manage tyres. Running P4, maintaining race pace."
44,PER,conserve,90.32843544579909,3962.229279509323,1,3,"Manage tyres. Running P3, maintaining race pace."
44,SAI,conserve,92.68906753474934,3963.4186890919145,22,3,"Manage tyres. Running P5, maintaining race pace."
45,NOR,conserve,92.64709167912946,4059.2090437284155,23,5,"Manage tyres. Running P3, maintaining race pace."
45,VER,conserve,89.09435829019506,4053.622830880073,2,4,"Manage tyres. Running P3, maintaining race pace."
45,LEC,push,91.78130354584762,4048.816141594603,18,3,"Push now. Gap 0.82s ahead, opportunity to gain position 3."
45,PER,push,90.47900850969951,4052.708288019023,2,3,"Push now. Gap 0.66s ahead, opportunity to gain position 5."
45,SAI,conserve,93.55279067507053,4056.971479766985,23,4,"Manage tyres. Running P1, maintaining race pace."
46,NOR,pit,95.2206143800053,4154.429658108421,0,5,"Box now. Tyres at 0 laps, degradation critical."
46,VER,conserve,89.32524099747752,4142.94807187755,3,4,"Manage tyres. Running P4, maintaining race pace."
46,LEC,conserve,92.81653064145584,4141.632672236059,19,3,"Manage tyres. Running P4, maintaining race pace."
46,PER,push,89.45462388683993,4142.1629119058625,3,3,"Push now. Gap 0.24s ahead, opportunity to gain position 5."
46,SAI,conserve,92.14044102982214,4149.111920796807,24,4,"Manage tyres. Running P1, maintaining race pace."
47,NOR,push,89.03387160665578,4243.463529715076,1,5,"Push now. Gap 0.52s ahead, opportunity to gain position 2."
47,VER,conserve,89.55851900157897,4232.506590879129,4,4,"Manage tyres. Running P1, maintaining race pace."
47,LEC,conserve,92.847756640813,4234.480428876872,20,4,"Manage tyres. Running P2, maintaining race pace."
47,PER,conserve,89.81371964430852,4231.976631550171,4,2,"Manage tyres. Running P1, maintaining race pace."
47,SAI,conserve,92.69239357733365,4241.804314374141,25,4,"Manage tyres. Running P3, maintaining race pace."
48,NOR,conserve,89.27305666321296,4332.736586378289,2,5,"Manage tyres. Running P3, maintaining race pace."
48,VER,push,89.9665018320983,4322.473092711228,5,4,"Push now. Gap 0.25s ahead, opportunity to gain position 1."
48,LEC,conserve,92.16652318684885,4326.646952063721,21,4,"Manage tyres. Running P4, maintaining race pace."
48,PER,conserve,91.1224047200189,4323.09903627019,5,3,"Manage tyres. Running P5, maintaining race pace."
48,SAI,pit,95.45693536175636,4337.261249735897,0,5,"Box now. Tyres at 0 laps, degradation critical."
49,NOR,conserve,89.6573650961477,4422.393951474436,3,5,"Manage tyres. Running P5, maintaining race pace."
49,VER,push,89.52274650518119,4411.995839216409,6,4,"Push now. Gap 0.03s ahead, opportunity to gain position 1."
49,LEC,conserve,93.01053293480346,4419.6574849985245,22,4,"Manage tyres. Running P3, maintaining race pace."
49,PER,conserve,90.99805399763666,4414.097090267826,6,3,"Manage tyres. Running P5, maintaining race pace."
49,SAI,conserve,90.17832663323789,4427.439576369135,1,5,"Manage tyres. Running P3, maintaining race pace."
50,NOR,push,89.81861873123728,4512.212570205674,4,5,"Push now. Gap 0.31s ahead, opportunity to gain position 2."
50,VER,conserve,90.56523180353561,4502.561071019944,7,4,"Manage tyres. Running P1, maintaining race pace."
50,LEC,pit,95.54907109454048,4515.206556093065,0,5,"Box now. Tyres at 0 laps, degradation critical."
50,PER,push,91.39842076348232,4505.4955110313085,7,3,"Push now. Gap 0.14s ahead, opportunity to gain position 1."
50,SAI,conserve,90.18833995249014,4517.627916321625,2,5,"Manage tyres. Running P4, maintaining race pace."
51,NOR,conserve,90.47019521294186,4602.682765418615,5,5,"Manage tyres. Running P3, maintaining race pace."
51,VER,push,90.7634660088258,4593.3245370287705,8,4,"Push now. Gap 0.93s ahead, opportunity to gain position 4."
51,LEC,conserve,90.00135929999902,4605.2079153930645,1,5,"Manage tyres. Running P5, maintaining race pace."
51,PER,conserve,91.80164410409448,4597.297155135403,8,3,"Manage tyres. Running P4, maintaining race pace."
51,SAI,push,90.71263896878469,4608.34055529041,3,5,"Push now. Gap 0.67s ahead, opportunity to gain position 4."
52,NOR,push,90.3839477947529,4693.0667132133685,6,5,"Push now. Gap 0.99s ahead, opportunity to gain position 5."
52,VER,conserve,91.65511494861863,4684.979651977389,9,4,"Manage tyres. Running P4, maintaining race pace."
52,LEC,conserve,89.52449230981438,4694.732407702879,2,5,"Manage tyres. Running P4, maintaining race pace."
52,PER,conserve,91.2138862647572,4688.51104140016,9,3,"Manage tyres. Running P4, maintaining race pace."
52,SAI,conserve,90.41569746667089,4698.756252757081,4,5,"Manage tyres. Running P4, maintaining race pace."
53,NOR,conserve,91.57162531666695,4784.638338530035,7,5,"Manage tyres. Running P1, maintaining race pace."
